iter	Passed	Remaining
839	1044	199
840	1046	197
841	1047	196
842	1048	195
843	1049	194
844	1050	192
845	1052	191
846	1053	190
847	1054	189
848	1055	187
849	1056	186
850	1057	185
851	1059	184
852	1060	182
853	1061	181
854	1062	180
855	1063	178
856	1065	177
857	1066	176
858	1067	175
859	1068	173
860	1069	172
861	1070	171
862	1071	170
863	1072	168
864	1074	167
865	1075	166
866	1076	165
867	1077	163
868	1078	162
869	1079	161
870	1081	160
871	1082	158
872	1083	157
873	1084	156
874	1085	155
875	1086	153
876	1087	152
877	1089	151
878	1090	150
879	1091	148
880	1092	147
881	1093	146
882	1094	145
883	1096	143
884	1097	142
885	1098	141
886	1099	140
887	1100	138
888	1101	137
889	1102	136
890	1104	135
891	1105	133
892	1106	132
893	1107	131
894	1108	130
895	1109	128
896	1110	127
897	1111	126
898	1113	125
899	1114	123
900	1115	122
901	1116	121
902	1117	120
903	1118	118
904	1119	117
905	1121	116
906	1122	115
907	1123	113
908	1124	112
909	1125	111
910	1126	110
911	1128	108
912	1129	107
913	1130	106
914	1131	105
915	1132	103
916	1133	102
917	1134	101
918	1135	100
919	1136	98
920	1138	97
921	1139	96
922	1140	95
923	1142	93
924	1143	92
925	1144	91
926	1145	90
927	1147	88
928	1148	87
929	1149	86
930	1150	85
931	1151	84
932	1153	82
933	1154	81
934	1155	80
935	1156	79
936	1158	77
937	1159	76
938	1160	75
939	1161	74
940	1163	72
941	1164	71
942	1165	70
943	1166	69
944	1167	67
945	1169	66
946	1170	65
947	1171	64
948	1172	63
949	1173	61
950	1174	60
951	1176	59
952	1177	58
953	1178	56
954	1179	55
955	1180	54
956	1181	53
957	1182	51
958	1184	50
959	1185	49
960	1186	48
961	1187	46
962	1188	45
963	1190	44
964	1191	43
965	1192	41
966	1193	40
967	1194	39
968	1195	38
969	1196	37
970	1198	35
971	1199	34
972	1200	33
973	1201	32
974	1202	30
975	1203	29
976	1204	28
977	1206	27
978	1207	25
979	1208	24
980	1209	23
981	1210	22
982	1211	20
983	1213	19
984	1214	18
985	1215	17
986	1216	16
987	1217	14
988	1218	13
989	1220	12
990	1221	11
991	1222	9
992	1223	8
993	1224	7
994	1225	6
995	1227	4
996	1228	3
997	1230	2
998	1231	1
999	1233	0
